Threshold,Precision,Recall,F1-Score
0.1,0.3866525423728814,0.9554973821989529,0.55052790346908
0.15000000000000002,0.4434673366834171,0.9240837696335078,0.599320882852292
0.20000000000000004,0.4802816901408451,0.8926701570680629,0.6245421245421245
0.25000000000000006,0.5159744408945687,0.8455497382198953,0.6408730158730159
0.30000000000000004,0.5517857142857143,0.8089005235602095,0.6560509554140127
0.3500000000000001,0.581888246628131,0.7905759162303665,0.6703662597114317
0.40000000000000013,0.6053169734151329,0.774869109947644,0.6796785304247991
0.45000000000000007,0.625,0.7591623036649214,0.6855791962174941
0.5000000000000001,0.6558139534883721,0.7382198952879581,0.6945812807881774
0.5500000000000002,0.6626506024096386,0.7198952879581152,0.6900878293601004
0.6000000000000002,0.6709183673469388,0.6884816753926701,0.6795865633074936
0.6500000000000001,0.6958904109589041,0.6649214659685864,0.6800535475234271
0.7000000000000002,0.7089337175792507,0.643979057591623,0.6748971193415638
0.7500000000000002,0.7260726072607261,0.5759162303664922,0.6423357664233577
0.8000000000000002,0.7472118959107806,0.5261780104712042,0.6175115207373272
0.8500000000000002,0.7889447236180904,0.4109947643979058,0.540447504302926
0.9000000000000002,0.87,0.22774869109947643,0.36099585062240663
